region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
AO,ice,MME,source,Snow-to-ice,846.27,349.3,4.11,2.41,5.81,3.95,21386.24,21401.5
AO,ice,MME,source,Open water ice production,4486.34,1785.52,21.78,13.11,30.45,20.96,21386.24,21401.5
AO,ice,MME,source,Basal growth,15262.43,2153.46,74.11,63.65,84.56,71.31,21386.24,21401.5
AO,ice,MME,source,Residual,791.2,,,,,3.7,21386.24,21401.5
AO,ice,MME,sink,Vapour Exchange,107.15,106.41,0.5,0.0,1.0,0.5,21386.24,21401.5
AO,ice,MME,sink,Top melt,5314.47,1549.78,24.85,17.6,32.1,24.83,21386.24,21401.5
AO,ice,MME,sink,Lateral melt,857.83,183.83,4.01,3.15,4.87,4.01,21386.24,21401.5
AO,ice,MME,sink,Basal melt,15106.81,1960.06,70.64,61.47,79.8,70.59,21386.24,21401.5
IA,ice,ACCESS-CM2,source,Snow-to-ice,70.1,3.72,0.43,0.41,0.46,0.33,16454.48,21401.5
IA,ice,ACCESS-CM2,source,Open water ice production,2372.54,50.49,14.7,14.39,15.01,11.09,16454.48,21401.5
IA,ice,ACCESS-CM2,source,Basal growth,13698.21,252.28,84.87,83.3,86.43,64.01,16454.48,21401.5
IA,ice,ACCESS-CM2,source,Residual,313.62,,,,,1.47,16454.48,21401.5
IA,ice,ACCESS-CM2,sink,Vapour Exchange,208.74,6.01,1.27,1.23,1.31,0.98,16454.48,21401.5
IA,ice,ACCESS-CM2,sink,Top melt,6142.01,141.85,37.33,36.47,38.19,28.7,16454.48,21401.5
IA,ice,ACCESS-CM2,sink,Lateral melt,614.32,11.52,3.73,3.66,3.8,2.87,16454.48,21401.5
IA,ice,ACCESS-CM2,sink,Basal melt,7813.68,189.54,47.49,46.33,48.64,36.51,16454.48,21401.5
IA,ice,ACCESS-CM2,sink,Dynamics,1675.72,107.77,10.18,9.53,10.84,7.83,16454.48,21401.5
IA,ice,HadGEM3-GC31-LL,source,Snow-to-ice,97.55,1.98,0.67,0.66,0.68,0.46,15195.57,21401.5
IA,ice,HadGEM3-GC31-LL,source,Open water ice production,2352.11,55.3,16.13,15.75,16.51,10.99,15195.57,21401.5
IA,ice,HadGEM3-GC31-LL,source,Basal growth,12134.67,247.9,83.2,81.5,84.9,56.7,15195.57,21401.5
IA,ice,HadGEM3-GC31-LL,source,Residual,611.25,,,,,2.86,15195.57,21401.5
IA,ice,HadGEM3-GC31-LL,sink,Vapour Exchange,232.26,5.99,1.53,1.49,1.57,1.09,15195.57,21401.5
IA,ice,HadGEM3-GC31-LL,sink,Top melt,5780.45,80.44,38.04,37.51,38.57,27.01,15195.57,21401.5
