region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
AO,snow,IPSL-CM6A-LR,source,Snowfall,2111.39,63.87,100.0,96.97,103.03,43.8,2118.49,4820.13
AO,snow,IPSL-CM6A-LR,source,Residual,7.1,,,,,0.15,2118.49,4820.13
AO,snow,IPSL-CM6A-LR,sink,Vapour Exchange,197.53,4.56,9.32,9.11,9.54,4.1,2118.49,4820.13
AO,snow,IPSL-CM6A-LR,sink,Snowmelt,1325.31,43.99,62.56,60.48,64.64,27.5,2118.49,4820.13
AO,snow,IPSL-CM6A-LR,sink,Snow-to-ice,350.05,12.24,16.52,15.95,17.1,7.26,2118.49,4820.13
AO,snow,IPSL-CM6A-LR,sink,Dynamics,245.6,6.74,11.59,11.27,11.91,5.1,2118.49,4820.13
AO,snow,EC-Earth3,source,Snowfall,1922.34,82.4,100.0,95.71,104.29,39.88,1922.34,4820.13
AO,snow,EC-Earth3,sink,Snowmelt,1141.31,52.24,100.0,95.42,104.58,23.68,1922.34,4820.13
AO,snow,EC-Earth3,sink,Residual,781.03,,,,,16.2,1922.34,4820.13
AO,snow,MME,source,Snowfall,2010.66,208.22,100.0,89.64,110.36,41.71,2195.8,4820.13
AO,snow,MME,source,Residual,185.14,,,,,3.84,2195.8,4820.13
AO,snow,MME,sink,Vapour Exchange,236.78,38.0,10.78,9.05,12.51,4.91,2195.8,4820.13
AO,snow,MME,sink,Wind drift,208.55,6.22,9.5,9.21,9.78,4.33,2195.8,4820.13
AO,snow,MME,sink,Snowmelt,1214.16,162.37,55.29,47.9,62.69,25.19,2195.8,4820.13
AO,snow,MME,sink,Snow-to-ice,330.65,84.72,15.06,11.2,18.92,6.86,2195.8,4820.13
AO,snow,MME,sink,Dynamics,205.66,115.89,9.37,4.09,14.64,4.27,2195.8,4820.13
IA,snow,ACCESS-CM2,source,Snowfall,1334.91,44.73,100.0,96.65,103.35,27.69,1334.91,4820.13
IA,snow,ACCESS-CM2,sink,Snowmelt,804.38,35.84,76.43,73.02,79.83,16.69,1334.91,4820.13
IA,snow,ACCESS-CM2,sink,Snow-to-ice,25.23,1.34,2.4,2.27,2.52,0.52,1334.91,4820.13
IA,snow,ACCESS-CM2,sink,Dynamics,222.84,7.49,21.17,20.46,21.89,4.62,1334.91,4820.13
IA,snow,ACCESS-CM2,sink,Residual,282.47,,,,,5.86,1334.91,4820.13
IA,snow,HadGEM3-GC31-LL,source,Snowfall,1290.17,6.61,100.0,99.49,100.51,26.77,1290.17,4820.13
IA,snow,HadGEM3-GC31-LL,sink,Snowmelt,840.37,17.4,76.71,75.12,78.3,17.43,1290.17,4820.13
IA,snow,HadGEM3-GC31-LL,sink,Snow-to-ice,97.55,1.98,8.9,8.72,9.09,2.02,1290.17,4820.13
IA,snow,HadGEM3-GC31-LL,sink,Dynamics,157.56,3.21,14.38,14.09,14.68,3.27,1290.17,4820.13
IA,snow,HadGEM3-GC31-LL,sink,Residual,194.7,,,,,4.04,1290.17,4820.13
IA,snow,UKESM1-0-LL,source,Snowfall,1364.08,14.21,100.0,98.96,101.04,28.3,1364.08,4820.13
IA,snow,UKESM1-0-LL,sink,Snowmelt,917.8,10.47,77.58,76.69,78.46,19.04,1364.08,4820.13
IA,snow,UKESM1-0-LL,sink,Snow-to-ice,92.92,2.41,7.85,7.65,8.06,1.93,1364.08,4820.13
IA,snow,UKESM1-0-LL,sink,Dynamics,172.36,2.9,14.57,14.32,14.81,3.58,1364.08,4820.13
IA,snow,UKESM1-0-LL,sink,Residual,181.0,,,,,3.76,1364.08,4820.13
IA,snow,MRI-ESM2-0,source,Snowfall,1552.43,0.0,100.0,100.0,100.0,32.21,1553.37,4820.13
IA,snow,MRI-ESM2-0,source,Residual,0.94,,,,,0.02,1553.37,4820.13
IA,snow,MRI-ESM2-0,sink,Vapour Exchange,158.71,2.91,10.22,10.03,10.4,3.29,1553.37,4820.13
IA,snow,MRI-ESM2-0,sink,Snowmelt,1227.68,44.45,79.03,76.17,81.89,25.47,1553.37,4820.13
IA,snow,MRI-ESM2-0,sink,Snow-to-ice,81.29,4.15,5.23,4.97,5.5,1.69,1553.37,4820.13
IA,snow,MRI-ESM2-0,sink,Dynamics,85.7,3.95,5.52,5.26,5.77,1.78,1553.37,4820.13
IA,snow,CESM2-WACCM,source,Snowfall,1211.39,10.94,100.0,99.1,100.9,25.13,1211.39,4820.13
IA,snow,CESM2-WACCM,sink,Vapour Exchange,179.79,0.0,18.59,18.59,18.59,3.73,1211.39,4820.13
IA,snow,CESM2-WACCM,sink,Snowmelt,787.43,11.71,81.41,80.2,82.62,16.34,1211.39,4820.13
IA,snow,CESM2-WACCM,sink,Residual,244.16,,,,,5.07,1211.39,4820.13
IA,snow,CESM2-LE,source,Snowfall,1184.53,31.05,100.0,97.38,102.62,24.57,1184.53,4820.13
IA,snow,CESM2-LE,sink,Vapour Exchange,161.33,3.77,16.18,15.8,16.56,3.35,1184.53,4820.13
IA,snow,CESM2-LE,sink,Snowmelt,755.42,23.54,75.75,73.39,78.11,15.67,1184.53,4820.13
IA,snow,CESM2-LE,sink,Snow-to-ice,80.47,5.79,8.07,7.49,8.65,1.67,1184.53,4820.13
IA,snow,CESM2-LE,sink,Residual,187.32,,,,,3.89,1184.53,4820.13
IA,snow,NorESM2-LM,source,Snowfall,1239.02,26.11,100.0,97.89,102.11,25.71,1239.02,4820.13
IA,snow,NorESM2-LM,sink,Wind drift,110.26,2.93,13.18,12.83,13.53,2.29,1239.02,4820.13
IA,snow,NorESM2-LM,sink,Snowmelt,726.22,16.68,86.82,84.82,88.81,15.07,1239.02,4820.13
IA,snow,NorESM2-LM,sink,Residual,402.54,,,,,8.35,1239.02,4820.13
IA,snow,CNRM-CM6-1,source,Snowfall,1563.29,0.0,100.0,100.0,100.0,32.43,1563.29,4820.13
IA,snow,CNRM-CM6-1,sink,Vapour Exchange,44.62,0.0,2.89,2.89,2.89,0.93,1563.29,4820.13
IA,snow,CNRM-CM6-1,sink,Snowmelt,1082.36,0.0,70.14,70.14,70.14,22.46,1563.29,4820.13
IA,snow,CNRM-CM6-1,sink,Snow-to-ice,313.09,0.0,20.29,20.29,20.29,6.5,1563.29,4820.13
IA,snow,CNRM-CM6-1,sink,Dynamics,103.05,0.0,6.68,6.68,6.68,2.14,1563.29,4820.13
IA,snow,CNRM-CM6-1,sink,Residual,20.16,,,,,0.42,1563.29,4820.13
